table,field,rows,missing,missing_rate,distinct
market_observations,source,10079,0,0.0,1
market_observations,endpoint,10079,0,0.0,2
market_observations,chain,10079,0,0.0,4
market_observations,entity_type,10079,0,0.0,1
market_observations,token_address,10079,0,0.0,112
market_observations,wallet_address,10079,10079,1.0,0
market_observations,event_time,10079,0,0.0,602
market_observations,observed_at,10079,0,0.0,116
market_observations,effective_time,10079,0,0.0,602
market_observations,ingested_at,10079,0,0.0,10079
market_observations,api_version,10079,0,0.0,1
market_observations,request_params,10079,0,0.0,116
market_observations,request_params_hash,10079,0,0.0,116
market_observations,payload_hash,10079,0,0.0,10079
market_observations,known_at,10079,0,0.0,116
market_observations,is_feature_safe,10079,0,0.0,1
market_observations,leakage_reason,10079,10079,1.0,0
market_observations,symbol,10079,10079,1.0,0
market_observations,price,10079,0,0.0,9996
market_observations,volume,10079,0,0.0,10025
market_observations,volume_5m,10079,9967,0.9888877864867547,61
market_observations,volume_1h,10079,9967,0.9888877864867547,86
market_observations,buy_volume,10079,9967,0.9888877864867547,45
market_observations,sell_volume,10079,9967,0.9888877864867547,59
market_observations,liquidity,10079,9967,0.9888877864867547,112
market_observations,market_cap,10079,9967,0.9888877864867547,112
market_observations,holders,10079,9967,0.9888877864867547,112
market_observations,tx_count,10079,86,0.008532592519099116,770
market_observations,smart_money_flow,10079,10079,1.0,0
market_observations,smart_money_holding_percent,10079,10079,1.0,0
market_observations,top10_holding_percent,10079,10079,1.0,0
market_observations,rank,10079,10079,1.0,0
market_observations,audit_score,10079,10079,1.0,0
market_observations,price_change_5m,10079,9967,0.9888877864867547,46
market_observations,price_change_1h,10079,9967,0.9888877864867547,73
market_observations,raw_json,10079,0,0.0,10079
factor_panel,chain,10079,0,0.0,4
factor_panel,token_address,10079,0,0.0,112
factor_panel,symbol,10079,10079,1.0,0
factor_panel,feature_time,10079,1,9.921619208254787e-05,601
factor_panel,known_at,10079,0,0.0,116
factor_panel,is_feature_safe,10079,0,0.0,1
factor_panel,log_market_cap,10079,9967,0.9888877864867547,112
factor_panel,log_liquidity,10079,9967,0.9888877864867547,112
factor_panel,volatility,10079,911,0.0903859509872011,8426
factor_panel,momentum_1h,10079,2107,0.20904851671792837,7972
factor_panel,momentum_4h,10079,2477,0.24575850778847108,7602
factor_panel,momentum_24h,10079,4021,0.398948308363925,6058
factor_panel,momentum_7d,10079,9786,0.9709296557198135,293
factor_panel,reversal_1h,10079,2107,0.20904851671792837,7972
factor_panel,realized_vol_24h,10079,911,0.0903859509872011,8426
factor_panel,volume_momentum,10079,4022,0.39904752455600756,6057
factor_panel,volume_surprise,10079,200,0.019843238416509576,9837
factor_panel,liquidity_mcap,10079,9967,0.9888877864867547,112
factor_panel,turnover,10079,9967,0.9888877864867547,61
factor_panel,volume_liquidity,10079,9967,0.9888877864867547,61
factor_panel,amihud_illiquidity,10079,2107,0.20904851671792837,7972
factor_panel,liquidity_growth,10079,10078,0.9999007838079175,1
factor_panel,liquidity_shock,10079,10079,1.0,0
factor_panel,buy_sell_imbalance,10079,9967,0.9888877864867547,60
factor_panel,smart_money_flow_intensity,10079,10079,1.0,0
factor_panel,smart_money_crowding,10079,10079,1.0,0
factor_panel,signal_count,10079,10079,1.0,0
factor_panel,signal_breadth,10079,10079,1.0,0
factor_panel,holder_growth,10079,10078,0.9999007838079175,1
factor_panel,holder_acceleration,10079,10078,0.9999007838079175,1
factor_panel,holder_concentration,10079,10079,1.0,0
factor_panel,holder_liquidity_interaction,10079,10079,1.0,0
factor_panel,rank_change,10079,10079,1.0,0
factor_panel,rank_momentum,10079,10079,1.0,0
factor_panel,attention_shock,10079,10079,1.0,0
factor_panel,token_age_days,10079,10079,1.0,0
factor_panel,audit_score,10079,10079,1.0,0
factor_panel,chain_volume_breadth,10079,1,9.921619208254787e-05,29
factor_panel,market_vol_regime,10079,244,0.02420875086814168,954
factor_panel,momentum_1h_rank,10079,2108,0.2091477329100109,1632
factor_panel,momentum_1h_neutralized,10079,10079,1.0,0
factor_panel,momentum_4h_rank,10079,2478,0.24585772398055364,1526
factor_panel,momentum_4h_neutralized,10079,10079,1.0,0
factor_panel,momentum_24h_rank,10079,4022,0.39904752455600756,1286
factor_panel,momentum_24h_neutralized,10079,10079,1.0,0
factor_panel,momentum_7d_rank,10079,9787,0.971028871911896,16
factor_panel,momentum_7d_neutralized,10079,10079,1.0,0
factor_panel,reversal_1h_rank,10079,2108,0.2091477329100109,1632
factor_panel,reversal_1h_neutralized,10079,10079,1.0,0
factor_panel,realized_vol_24h_rank,10079,911,0.0903859509872011,1864
factor_panel,realized_vol_24h_neutralized,10079,10079,1.0,0
factor_panel,volume_momentum_rank,10079,4022,0.39904752455600756,1286
factor_panel,volume_momentum_neutralized,10079,10079,1.0,0
factor_panel,volume_surprise_rank,10079,200,0.019843238416509576,1894
factor_panel,volume_surprise_neutralized,10079,10079,1.0,0
factor_panel,liquidity_mcap_rank,10079,9968,0.9889870026788372,4
factor_panel,liquidity_mcap_neutralized,10079,10079,1.0,0
factor_panel,turnover_rank,10079,9968,0.9889870026788372,4
factor_panel,turnover_neutralized,10079,10079,1.0,0
factor_panel,volume_liquidity_rank,10079,9968,0.9889870026788372,4
factor_panel,volume_liquidity_neutralized,10079,10079,1.0,0
factor_panel,amihud_illiquidity_rank,10079,2108,0.2091477329100109,1632
factor_panel,amihud_illiquidity_neutralized,10079,10079,1.0,0
factor_panel,liquidity_growth_rank,10079,10079,1.0,0
factor_panel,liquidity_growth_neutralized,10079,10079,1.0,0
factor_panel,liquidity_shock_rank,10079,10079,1.0,0
factor_panel,liquidity_shock_neutralized,10079,10079,1.0,0
factor_panel,buy_sell_imbalance_rank,10079,9968,0.9889870026788372,4
factor_panel,buy_sell_imbalance_neutralized,10079,10079,1.0,0
factor_panel,smart_money_flow_intensity_rank,10079,10079,1.0,0
factor_panel,smart_money_flow_intensity_neutralized,10079,10079,1.0,0
factor_panel,smart_money_crowding_rank,10079,10079,1.0,0
factor_panel,smart_money_crowding_neutralized,10079,10079,1.0,0
factor_panel,signal_count_rank,10079,10079,1.0,0
factor_panel,signal_count_neutralized,10079,10079,1.0,0
factor_panel,signal_breadth_rank,10079,10079,1.0,0
factor_panel,signal_breadth_neutralized,10079,10079,1.0,0
factor_panel,holder_growth_rank,10079,10079,1.0,0
factor_panel,holder_growth_neutralized,10079,10079,1.0,0
factor_panel,holder_acceleration_rank,10079,10079,1.0,0
factor_panel,holder_acceleration_neutralized,10079,10079,1.0,0
factor_panel,holder_concentration_rank,10079,10079,1.0,0
factor_panel,holder_concentration_neutralized,10079,10079,1.0,0
factor_panel,holder_liquidity_interaction_rank,10079,10079,1.0,0
factor_panel,holder_liquidity_interaction_neutralized,10079,10079,1.0,0
factor_panel,rank_change_rank,10079,10079,1.0,0
factor_panel,rank_change_neutralized,10079,10079,1.0,0
factor_panel,rank_momentum_rank,10079,10079,1.0,0
factor_panel,rank_momentum_neutralized,10079,10079,1.0,0
factor_panel,attention_shock_rank,10079,10079,1.0,0
factor_panel,attention_shock_neutralized,10079,10079,1.0,0
factor_panel,token_age_days_rank,10079,10079,1.0,0
factor_panel,token_age_days_neutralized,10079,10079,1.0,0
factor_panel,audit_score_rank,10079,10079,1.0,0
factor_panel,audit_score_neutralized,10079,10079,1.0,0
factor_panel,chain_volume_breadth_rank,10079,1,9.921619208254787e-05,348
factor_panel,chain_volume_breadth_neutralized,10079,10079,1.0,0
factor_panel,market_vol_regime_rank,10079,244,0.02420875086814168,406
factor_panel,market_vol_regime_neutralized,10079,10079,1.0,0
factor_panel,leakage_reason,10079,10079,1.0,0
labels,chain,10079,0,0.0,4
labels,token_address,10079,0,0.0,112
labels,feature_time,10079,1,9.921619208254787e-05,601
labels,price_num,10079,0,0.0,9996
labels,entry_time,10079,1,9.921619208254787e-05,601
labels,forward_return_1h,10079,2107,0.20904851671792837,7972
labels,exit_time_1h,10079,2108,0.2091477329100109,317
labels,forward_return_4h,10079,2477,0.24575850778847108,7602
labels,exit_time_4h,10079,2478,0.24585772398055364,318
labels,forward_return_24h,10079,4021,0.398948308363925,6058
labels,exit_time_24h,10079,4022,0.39904752455600756,297
labels,label_source,10079,0,0.0,1
labels,is_feature_safe,10079,0,0.0,1
labels,known_at,10079,1,9.921619208254787e-05,584
labels,leakage_reason,10079,0,0.0,1
