factor,horizon,feature_time,ic,p_value,n
momentum_1h,1,2026-09-08 16:00:00+00:00,-0.6,0.28475697986529386,5
momentum_1h,1,2026-09-09 16:00:00+00:00,0.14285714285714288,0.7599453002180928,7
momentum_1h,1,2026-09-09 17:00:00+00:00,0.5,0.25316999510032256,7
momentum_1h,1,2026-09-09 18:00:00+00:00,0.08571428571428573,0.8717434402332361,6
momentum_1h,1,2026-09-09 19:00:00+00:00,0.7,0.1881204043741873,5
momentum_1h,1,2026-09-10 13:00:00+00:00,-0.7857142857142859,0.03623846267982714,7
momentum_1h,1,2026-09-10 15:00:00+00:00,-0.09999999999999999,0.8728885715695384,5
momentum_1h,1,2026-09-11 03:00:00+00:00,-0.7,0.1881204043741873,5
momentum_1h,1,2026-09-11 06:00:00+00:00,0.09999999999999999,0.8728885715695384,5
momentum_1h,1,2026-09-11 08:00:00+00:00,-0.8999999999999998,0.03738607346849874,5
momentum_1h,1,2026-09-11 09:00:00+00:00,0.3,0.623837664781073,5
momentum_1h,1,2026-09-11 10:00:00+00:00,-0.5,0.1704706607870538,9
momentum_1h,1,2026-09-11 11:00:00+00:00,0.05454545454545454,0.8810361811618524,10
momentum_1h,1,2026-09-11 12:00:00+00:00,0.4265734265734266,0.16669998762494498,12
momentum_1h,1,2026-09-11 13:00:00+00:00,0.38235294117647056,0.14385924954389048,16
momentum_1h,1,2026-09-11 14:00:00+00:00,-0.15357142857142855,0.5847640949410158,15
momentum_1h,1,2026-09-11 15:00:00+00:00,-0.5539215686274511,0.021049824867067704,17
momentum_1h,1,2026-09-11 16:00:00+00:00,0.39010989010989006,0.18757411613383781,13
momentum_1h,1,2026-09-11 17:00:00+00:00,0.48901098901098894,0.08991308230865636,13
momentum_1h,1,2026-09-11 18:00:00+00:00,0.24835164835164836,0.3919195389384575,14
momentum_1h,1,2026-09-11 19:00:00+00:00,-0.3356643356643357,0.28612290291498743,12
momentum_1h,1,2026-09-11 20:00:00+00:00,0.25274725274725274,0.40477407127094645,13
momentum_1h,1,2026-09-11 21:00:00+00:00,-0.125,0.6571356681869506,15
momentum_1h,1,2026-09-11 22:00:00+00:00,-0.2867132867132868,0.36625146058358227,12
momentum_1h,1,2026-09-11 23:00:00+00:00,-0.3333333333333334,0.41975308641975323,8
