factor,horizon,quantile,mean_forward_return,n
momentum_1h,24,1,0.03323929176437253,1056
momentum_1h,24,2,-0.010107296850686289,990
momentum_1h,24,3,-0.008244748586881895,1010
momentum_1h,24,4,-0.008970928192518851,990
momentum_1h,24,5,0.07647198422456002,1037
momentum_4h,24,1,0.007394532140435865,990
momentum_4h,24,2,-0.009058128676583297,932
momentum_4h,24,3,-0.009584178741935253,939
momentum_4h,24,4,-0.008913286438481148,932
momentum_4h,24,5,0.08040481405084883,971
momentum_24h,24,1,-0.052482007720383105,725
momentum_24h,24,2,-0.014217807493773764,676
momentum_24h,24,3,-0.01291215314546343,678
momentum_24h,24,4,-0.024118954706876434,676
momentum_24h,24,5,0.01919619039535916,704
reversal_1h,24,1,0.07500522284512291,1056
reversal_1h,24,2,-0.00906795125504,990
reversal_1h,24,3,-0.008071220510789647,1010
reversal_1h,24,4,-0.01054259149066255,990
reversal_1h,24,5,0.03427999574562738,1037
realized_vol_24h,24,1,-0.005873661031793908,1137
realized_vol_24h,24,2,0.0006434918103944315,1062
realized_vol_24h,24,3,0.007790037492344465,1068
realized_vol_24h,24,4,0.004134889874573421,1062
realized_vol_24h,24,5,0.0641686012048392,1108
volume_momentum,24,1,-0.02763915744054771,725
volume_momentum,24,2,-0.03424756427158329,676
volume_momentum,24,3,-0.028930792505737865,678
volume_momentum,24,4,-0.018939984419583465,676
volume_momentum,24,5,0.023299461277425347,704
volume_surprise,24,1,-0.004309894770948715,1180
volume_surprise,24,2,0.012447933642900501,1102
volume_surprise,24,3,0.016819593156828346,1103
volume_surprise,24,4,0.025117801384851812,1102
volume_surprise,24,5,0.02663399093751507,1156
amihud_illiquidity,24,1,-0.00677403529823289,1056
amihud_illiquidity,24,2,-0.011376243390663298,990
amihud_illiquidity,24,3,0.014479664639910735,1010
amihud_illiquidity,24,4,0.0846332337875808,990
amihud_illiquidity,24,5,0.0069353909105092475,1037
