split,factor,horizon,train_start,train_end,test_start,test_end,embargo_hours,n_timestamps,n_observations,coverage,n_periods,mean_ic,median_ic,ic_std,icir,positive_rate,t_stat,naive_p_value,HAC_t_stat,HAC_p_value,HAC_lag,raw_p_value,status,test
train,momentum_1h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,27,204,0.26153846153846155,27,0.0007412340745673956,0.09523809523809526,0.5099924480554652,0.007552200521873604,0.5185185185185185,0.007552200521873604,0.9940319231589523,0.010518599522778888,0.9916075265983103,24,0.9916075265983103,computed,time_oos
test_oos,momentum_1h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,3772,0.5626491646778043,56,0.022760344964665346,0.03397069300894166,0.16226109169902472,1.0496837161742705,0.5714285714285714,1.0496837161742705,0.2984541613992846,0.9107367523209168,0.3624340944847101,24,0.3624340944847101,computed,time_oos
train,momentum_4h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,18,128,0.1641025641025641,18,0.14203019203019202,0.23571428571428577,0.40342886217093327,1.4936538458454236,0.6666666666666666,1.4936538458454236,0.15359448183046145,3.7313229882139898,0.0001904768259578842,17,0.0001904768259578842,computed,time_oos
test_oos,momentum_4h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,3693,0.5508651551312649,56,0.051054215280394576,0.04092594233723266,0.18432765327687867,2.0726936879394118,0.6071428571428571,2.0726936879394113,0.042900092412674964,1.486605948197792,0.13711891589347092,24,0.13711891589347092,computed,time_oos
train,momentum_24h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,10,53,0.06794871794871794,10,0.0071428571428571565,0.0,0.5666966778767573,0.03985853182916241,0.4,0.03985853182916241,0.9690760941959081,0.059876303574334225,0.9522541530333387,9,0.9522541530333387,computed,time_oos
test_oos,momentum_24h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,3261,0.4864260143198091,56,-0.06535992938407119,-0.042896872648301,0.17630836036158382,-2.7741675105750643,0.35714285714285715,-2.7741675105750643,0.007544276365408227,-1.912443192818324,0.05581937237646845,24,0.05581937237646845,computed,time_oos
train,momentum_7d,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,momentum_7d,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,reversal_1h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,27,204,0.26153846153846155,27,-0.0007412340745673956,-0.09523809523809526,0.5099924480554652,-0.007552200521873604,0.48148148148148145,-0.007552200521873604,0.9940319231589523,-0.010518599522778888,0.9916075265983103,24,0.9916075265983103,computed,time_oos
test_oos,reversal_1h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,3772,0.5626491646778043,56,-0.022760344964665346,-0.03397069300894166,0.16226109169902472,-1.0496837161742705,0.42857142857142855,-1.0496837161742705,0.2984541613992846,-0.9107367523209168,0.3624340944847101,24,0.3624340944847101,computed,time_oos
train,realized_vol_24h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,42,321,0.4115384615384615,42,0.04434559371534161,0.028271728271728275,0.3598041187403874,0.798746537399809,0.5238095238095238,0.798746537399809,0.42904024834652005,1.03118943801479,0.302451992648073,24,0.302451992648073,computed,time_oos
test_oos,realized_vol_24h,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,3972,0.5924821002386634,56,-0.20960089245496905,-0.18528800491118755,0.2024346639080828,-7.7482256485938885,0.17857142857142858,-7.748225648593889,2.2460393854699514e-10,-2.1975749872587182,0.027979407307176372,24,0.027979407307176372,computed,time_oos
train,volume_momentum,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,10,53,0.06794871794871794,10,-0.0821428571428571,-0.19999999999999998,0.5742317158535075,-0.45235836843175464,0.4,-0.45235836843175464,0.6617169715865616,-0.6520649887174176,0.5143592487885059,9,0.5143592487885059,computed,time_oos
test_oos,volume_momentum,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,3261,0.4864260143198091,56,0.03382183817707427,0.042205521317633395,0.14761082257495817,1.714640274228669,0.6071428571428571,1.7146402742286693,0.09204147871210827,1.5982491473115494,0.10998753983370878,24,0.10998753983370878,computed,time_oos
train,volume_surprise,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,54,425,0.5448717948717948,54,0.05278666504156699,-0.020995670995670998,0.4365370304262475,0.8885871224862438,0.48148148148148145,0.8885871224862438,0.37824024318750565,1.4268116412830947,0.15363419476559045,24,0.15363419476559045,computed,time_oos
test_oos,volume_surprise,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,56,4008,0.5978520286396182,56,0.038348979121479096,0.021448475561541943,0.14140297646744665,2.0295009990564865,0.5714285714285714,2.0295009990564865,0.04725707341307651,2.00230733186634,0.045251687950434924,24,0.045251687950434924,computed,time_oos
train,liquidity_mcap,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,liquidity_mcap,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,turnover,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
test_oos,turnover,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
train,volume_liquidity,24,2026-08-24T16:00:00+00:00,2026-09-11T23:00:00+00:00,2026-09-13T00:00:00+00:00,2026-09-16T07:36:00+00:00,24,0,0,0.0,0,,,,,,,,,,,,insufficient evidence,time_oos
